"tags","features","artist_name","track_name"
"[""80s"",""pop"",""female vocalists"",""Belinda Carlisle"",""new wave"",""soft rock"",""heaven is a place on earth"",""rock"",""dance"",""80s Pop"",""female vocalist"",""80's"",""female"",""pop rock"",""american"",""oldies"",""1987"",""favorites"",""easy listening"",""classic rock"",""Love"",""party"",""female vocals"",""80s favorites"",""guilty pleasure"",""heaven"",""happy"",""eighties"",""fun"",""classic"",""catchy"",""top 40"",""Favorite"",""top artists"",""amayzes loved"",""Good memories"",""Disco"",""90s"",""relaxing"",""best"",""love song"",""sexy female vocals""]","{""danceability"":0.64,""energy"":0.852,""key"":1,""loudness"":-8.119,""mode"":0,""speechiness"":0.0345,""acousticness"":0.0243,""instrumentalness"":0.00000182,""liveness"":0.0497,""valence"":0.793,""tempo"":122.902,""type"":""audio_features"",""id"":""37Q5anxoGWYdRsyeXkkNoI"",""uri"":""spotify:track:37Q5anxoGWYdRsyeXkkNoI"",""track_href"":""https://api.spotify.com/v1/tracks/37Q5anxoGWYdRsyeXkkNoI"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/37Q5anxoGWYdRsyeXkkNoI"",""duration_ms"":246520,""time_signature"":4}","Belinda Carlisle","Heaven Is a Place on Earth"
"[""80s"",""pop"",""80's"",""1986"",""Robbie Nevil"",""one-hit wonder"",""rock"",""american"",""Happy songs"",""Basically Bass"",""dance"",""eighties"",""male vocalists"",""Guilty Pleasures"",""6 of 10 stars"",""80s Pop"",""classic rock"",""male"",""soul"",""singer-songwriter"",""USA"",""favorites"",""Love"",""easy listening"",""dance-pop"",""synth pop"",""saxophone"",""song"",""90s"",""upbeat"",""summer"",""party"",""smooth"",""new"",""Rainy Day"",""fun"",""cool"",""male vocalist"",""new jack swing"",""singer songwriter"",""80"",""90's"",""sunshine"",""top 40"",""relax"",""fav"",""perfect pop songs"",""weekend"",""all the best"",""poprock"",""Summery"",""herz-2"",""CD"",""1980s"",""10 of 10 stars"",""Radio Music"",""One Hit Wonders"",""guitarist"",""breakfast"",""1987"",""dance - techno"",""Great Music"",""childhood memories"",""easyrock"",""hit"",""one hit wonder"",""top artists"",""best songs of the 80s"",""Pop Life"",""guitarra"",""3 star"",""billboard hot 100"",""comfort music"",""fave songs ever"",""1980's"",""major"",""pop 80s"",""brain2brain"",""lobonoceu"",""The 80s"",""Mellow Party"",""dancing the night away"",""incredible vocals"",""80s Classic"",""Care free"",""Brems Tagg radio"",""dancecraze"",""popdance"",""japonesa"",""Hardy"",""80s pop and rock"",""rakt over disc"",""get your spirits up"",""Radiotsar approved"",""makemehappy"",""Tema Increible"",""middle tempo"",""axem army"",""7P"",""dance:cha cha cha""]","{""danceability"":0.729,""energy"":0.798,""key"":7,""loudness"":-12.868,""mode"":1,""speechiness"":0.0552,""acousticness"":0.533,""instrumentalness"":0.00032,""liveness"":0.725,""valence"":0.565,""tempo"":102.108,""type"":""audio_features"",""id"":""6Ce9ItNCpk2PkAMq5v6EEV"",""uri"":""spotify:track:6Ce9ItNCpk2PkAMq5v6EEV"",""track_href"":""https://api.spotify.com/v1/tracks/6Ce9ItNCpk2PkAMq5v6EEV"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/6Ce9ItNCpk2PkAMq5v6EEV"",""duration_ms"":271667,""time_signature"":4}","Robbie Nevil","C'est La Vie"
"[""80s"",""pop"",""female vocalists"",""new wave"",""rock"",""bangles"",""The Bangles"",""80's"",""1986"",""dance"",""american"",""fun"",""walk like an egyptian"",""pop rock"",""party"",""classic rock"",""amayzes loved"",""hit"",""80s dance floor"",""happy"",""catchy"",""Awesome"",""eighties"",""oldies"",""loved"",""whistling"",""gute laune"",""7 of 10 stars"",""80s Pop"",""girl group"",""easyrock"",""iTunes"",""best songs of the 80s"",""davaho53"",""female"",""favorites"",""female vocalist"",""rock band"",""english"",""vocalization"",""all the best"",""sing along"",""1980s"",""Girl Groups"",""group"",""rock band dlc"",""Megadeth"",""Gilmore Girls"",""my favorite"",""Party-Rockin"",""critically acclaimed song"",""acclaimed music top 3000 bubbling under"",""galaxystardust"",""80s favorites"",""Rock Sunowo"",""80s top 40"",""essential 80s"",""all-time fav"",""christian alexander tietgen"",""pure 80s"",""off the cob""]","{""danceability"":0.724,""energy"":0.891,""key"":11,""loudness"":-7.818,""mode"":1,""speechiness"":0.0995,""acousticness"":0.00344,""instrumentalness"":0.0000466,""liveness"":0.3,""valence"":0.819,""tempo"":103.022,""type"":""audio_features"",""id"":""1Jwc3ODLQxtbnS8M9TflSP"",""uri"":""spotify:track:1Jwc3ODLQxtbnS8M9TflSP"",""track_href"":""https://api.spotify.com/v1/tracks/1Jwc3ODLQxtbnS8M9TflSP"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/1Jwc3ODLQxtbnS8M9TflSP"",""duration_ms"":204707,""time_signature"":4}","The Bangles","Walk Like an Egyptian"
"[]","{""danceability"":0.816,""energy"":0.693,""key"":11,""loudness"":-4.033,""mode"":1,""speechiness"":0.057,""acousticness"":0.00444,""instrumentalness"":0.00885,""liveness"":0.261,""valence"":0.787,""tempo"":114.469,""type"":""audio_features"",""id"":""3eGYm93FWZVOXciII8Bo7Q"",""uri"":""spotify:track:3eGYm93FWZVOXciII8Bo7Q"",""track_href"":""https://api.spotify.com/v1/tracks/3eGYm93FWZVOXciII8Bo7Q"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/3eGYm93FWZVOXciII8Bo7Q"",""duration_ms"":283133,""time_signature"":4}","Janet Jackson","What Have You Done For Me Lately - Album Edit"
"[""soul"",""funk"",""80s"",""r&b"",""Jam and Lewis"",""rnb"",""1987"",""dance"",""male vocalist"",""Old School soul"",""80s soul"",""critically acclaimed song"",""acclaimed music top 3000 bubbling under"",""jazz-funk"",""groove"",""male vocal"",""american"",""old school"",""male vocalists"",""live"",""fake"",""dope beat"",""sick beat"",""tight beat"",""eclectonia"",""club classics"",""southern"",""jimmy jam and terry lewis"",""electro-funk"",""5 of 10 stars"",""80s groove"",""MPLS"",""classic soul"",""High School Memories"",""Oaktown"",""All About Prince"",""JAMZ"",""80s grooves"",""rakt over disc"",""wdw"",""rnb-soul 80s"",""funkynow-WVAU"",""DANCEFLOOR CLASSICS"",""funky tune s"",""hot jamz baby"",""lbz favz"",""DJPMan-loved-tracks"",""Heiners"",""seadawgg"",""djpman loved tracks"",""darkestrose-lovedtracks"",""alexander oneal fake""]","{""danceability"":0.783,""energy"":0.83,""key"":11,""loudness"":-9.902,""mode"":1,""speechiness"":0.0377,""acousticness"":0.00402,""instrumentalness"":0.00541,""liveness"":0.0338,""valence"":0.947,""tempo"":111.956,""type"":""audio_features"",""id"":""3xqxyldhKovZBPuZgiaJXc"",""uri"":""spotify:track:3xqxyldhKovZBPuZgiaJXc"",""track_href"":""https://api.spotify.com/v1/tracks/3xqxyldhKovZBPuZgiaJXc"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/3xqxyldhKovZBPuZgiaJXc"",""duration_ms"":191880,""time_signature"":4}","Alexander O'Neal","Fake"
"[""80s"",""Hip-Hop"",""old school"",""dance"",""rap"",""hip hop"",""pop"",""party"",""Push It"",""salt n pepa"",""90s"",""fun"",""female vocalists"",""old school rap"",""1988"",""sex"",""Workout"",""rnb"",""salt-n-pepa"",""old school hip-hop"",""sexy"",""Guilty Pleasures"",""1987"",""oldschool"",""funk"",""female vocalist"",""Pitchfork 500"",""80s Old School"",""favorite songs"",""Love"",""funky"",""old skool"",""hiphop"",""female vocals"",""80's"",""horny"",""friendsofthekingofrummelpop"",""Rolling Stones Top 500 Songs of All Time"",""Rolling Stone 500 Greatest Songs of All Time"",""glee"",""my name is earl"",""HIP SHAKER"",""a repetitive song structure"",""80s hip-hop"",""this is uncool"",""electronic"",""rock"",""soul"",""classic"",""cowbell"",""USA"",""favorites"",""urban"",""upbeat"",""party music"",""guilty pleasure"",""hot"",""1986"",""top 40"",""vocal samples"",""Chuck"",""Old School Hip Hop"",""electronica influences"",""top artists"",""danceable beats"",""-favorites-"",""Foxy Lady"",""club rap influences"",""east coast rap roots"",""party rhymes"",""dominant rap hooks"",""the pitchfork 500"",""a tight kick sound"",""old school party"",""vh1 top 100 hip-hop songs"",""critically acclaimed song"",""galaxystardust"",""a highly synthetic sonority"",""a dry recording sound"",""a knack for catchy hooks"",""old school Influences"",""female rap lead"",""lyrics by a respected rap artist"",""hip hop classic"",""The 1980s"",""-erotica-"",""dance-off"",""saltnpepa"",""-memories-""]","{""danceability"":0.914,""energy"":0.594,""key"":11,""loudness"":-12.478,""mode"":0,""speechiness"":0.0727,""acousticness"":0.00709,""instrumentalness"":0.00318,""liveness"":0.0832,""valence"":0.972,""tempo"":127.226,""type"":""audio_features"",""id"":""2xF0GzAiDMEugLYqLZFWLr"",""uri"":""spotify:track:2xF0GzAiDMEugLYqLZFWLr"",""track_href"":""https://api.spotify.com/v1/tracks/2xF0GzAiDMEugLYqLZFWLr"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/2xF0GzAiDMEugLYqLZFWLr"",""duration_ms"":272133,""time_signature"":4}","Salt-N-Pepa","Push It"
"[""80s"",""electronic"",""pop"",""Soundtrack"",""electronica"",""yello"",""new wave"",""synthpop"",""duffman"",""oh yeah"",""dance"",""swiss"",""ferris bueller"",""synth pop"",""Electro Pop"",""classic"",""switzerland"",""1985"",""Love"",""party"",""Chuck"",""quirky"",""oldskool"",""80's"",""Favourites"",""Guilty Pleasures"",""classics"",""classic electronic"",""queer as folk"",""rock"",""sexy"",""epic"",""techno"",""Awesome"",""Retro"",""ost"",""fun"",""male vocalist"",""beat"",""big beat"",""1980s"",""One Hit Wonders"",""simpsons"",""streamable track wants"",""20th Century"",""s"",""zajebiste"",""songs I absolutely love"",""The Simpsons"",""Boredome"",""I love the 80s"",""Ferris Buellers Day Off"",""duff"",""retro cheese madness"",""Yello-Oh Yeah"",""JohnTM just woke up"",""Disco"",""chillout"",""instrumental"",""alternative"",""favorite songs"",""experimental"",""indie pop"",""electro"",""memories"",""happy"",""catchy"",""other"",""RockPop"",""tv"",""Soundtracks"",""Driving"",""upbeat"",""high energy"",""club"",""funky"",""art rock"",""favorite albums"",""top"",""cheerful"",""comedy"",""intense"",""cyberpunk"",""nice"",""cool"",""funny"",""eclectic"",""guilty pleasure"",""bizarre"",""1986"",""songs i love"",""relax"",""i am a party girl here is my soundtrack"",""english"",""cheesy"",""8 of 10 stars"",""9 of 10 stars"",""electronic music"",""great songs"",""perfect""]","{""danceability"":0.744,""energy"":0.682,""key"":6,""loudness"":-14.867,""mode"":1,""speechiness"":0.0555,""acousticness"":0.00614,""instrumentalness"":0.802,""liveness"":0.241,""valence"":0.705,""tempo"":131.121,""type"":""audio_features"",""id"":""3hcyxNuS7Ppe7OmqLmToAG"",""uri"":""spotify:track:3hcyxNuS7Ppe7OmqLmToAG"",""track_href"":""https://api.spotify.com/v1/tracks/3hcyxNuS7Ppe7OmqLmToAG"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/3hcyxNuS7Ppe7OmqLmToAG"",""duration_ms"":190107,""time_signature"":4}","Yello","Oh Yeah"
"[""pop"",""80s"",""dance"",""soul"",""whitney houston"",""1987"",""rnb"",""female vocalists"",""party"",""female vocalist"",""80's"",""dance-pop"",""dance pop"",""american"",""Love"",""r&b"",""vocalization"",""80s Pop"",""billboard number ones"",""vocal"",""USA"",""upbeat"",""new"",""love songs"",""top 40"",""Guilty Pleasures"",""1980s"",""influential"",""key change"",""Pop Life"",""us number one"",""expressive vocal"",""grammy: best female pop vocal performance"",""rock"",""classic"",""favorite songs"",""happy"",""catchy"",""urban"",""unclassifiable"",""Awesome"",""Voice"",""90s"",""eighties"",""Energetic"",""club"",""oldies"",""groovy"",""gospel"",""kids"",""powerpop"",""guilty pleasure"",""soulful"",""rhythm and blues"",""fav"",""poppy"",""8 of 10 stars"",""love song"",""classics"",""personal favourites"",""favorite by this singer"",""great voice"",""10 of 10 stars"",""6 of 10 stars"",""fout"",""Favourite Songs"",""Old School soul"",""indie dance"",""us"",""new jersey"",""my music"",""Pop Music"",""number one hits"",""Soul And RB"",""big voice"",""80s Music"",""Gone but not Forgotten"",""divas"",""Makes Me Smile"",""singstar"",""get up and dance"",""instant happiness"",""upbeat fun"",""sleek"",""rhythum and blues tag"",""lyricism"",""120 bpm"",""it is party time"",""wake-up song"",""My Happy Songs"",""One of the 50 gayest songs of all time"",""uk number one"",""perfect bliss"",""blender"",""Brems Tagg radio"",""80s favorites"",""dancecraze"",""i know all the words to this"",""You and Me"",""billboard number ones 1980s""]","{""danceability"":0.709,""energy"":0.824,""key"":1,""loudness"":-8.824,""mode"":1,""speechiness"":0.0453,""acousticness"":0.207,""instrumentalness"":0.000307,""liveness"":0.0888,""valence"":0.867,""tempo"":118.814,""type"":""audio_features"",""id"":""2tUBqZG2AbRi7Q0BIrVrEj"",""uri"":""spotify:track:2tUBqZG2AbRi7Q0BIrVrEj"",""track_href"":""https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/2tUBqZG2AbRi7Q0BIrVrEj"",""duration_ms"":291293,""time_signature"":4}","Whitney Houston","I Wanna Dance with Somebody (Who Loves Me)"
"[""post-punk"",""80s"",""alternative"",""new wave"",""similar to: minutemen""]","{""danceability"":0.68,""energy"":0.626,""key"":7,""loudness"":-8.519,""mode"":1,""speechiness"":0.0255,""acousticness"":0.126,""instrumentalness"":0.0000013,""liveness"":0.0995,""valence"":0.96,""tempo"":104.333,""type"":""audio_features"",""id"":""01q4ccXbvPlCwZ1fPiFaeM"",""uri"":""spotify:track:01q4ccXbvPlCwZ1fPiFaeM"",""track_href"":""https://api.spotify.com/v1/tracks/01q4ccXbvPlCwZ1fPiFaeM"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/01q4ccXbvPlCwZ1fPiFaeM"",""duration_ms"":122760,""time_signature"":4}","The Smiths","Girlfriend In A Coma - 2011 Remastered Version"
"[""80s"",""new wave"",""pop"",""rock"",""pop rock"",""Simple Minds"",""Soundtrack"",""the breakfast club"",""classic rock"",""classic"",""1985"",""favorites"",""british"",""alternative"",""Scottish"",""Dont You Forget About Me"",""synthpop"",""80's"",""Love"",""breakfast club"",""dance"",""play this at my funeral"",""soft rock"",""nostalgia"",""80s favorites"",""oldies"",""male vocalists"",""futurama"",""favorite songs"",""britpop"",""new romantic"",""1980s"",""80s Pop"",""80er"",""All time favourite"",""beautiful"",""nostalgic"",""classics"",""Awesome"",""Soundtracks"",""party"",""loved"",""80"",""amayzes loved"",""greatest hits of the 80s""]","{""danceability"":0.66,""energy"":0.816,""key"":2,""loudness"":-6.61,""mode"":1,""speechiness"":0.0299,""acousticness"":0.168,""instrumentalness"":0.0181,""liveness"":0.0608,""valence"":0.678,""tempo"":111.346,""type"":""audio_features"",""id"":""6CtNdzwFfWUHOSXyJsHvBe"",""uri"":""spotify:track:6CtNdzwFfWUHOSXyJsHvBe"",""track_href"":""https://api.spotify.com/v1/tracks/6CtNdzwFfWUHOSXyJsHvBe"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/6CtNdzwFfWUHOSXyJsHvBe"",""duration_ms"":263040,""time_signature"":4}","Simple Minds","Don't You (Forget About Me)"
"[""80s"",""pop"",""female vocalists"",""new wave"",""rock"",""1987"",""pop rock"",""female vocals"",""T Pau"",""soft rock"",""80s Pop"",""british"",""favorites"",""synth pop"",""new romantic"",""female vocalist"",""TPau"",""top 40"",""Guilty Pleasures"",""one hit wonder"",""electronic"",""UK"",""dance"",""synthpop"",""80's"",""heart and soul"",""classic rock"",""memories"",""catchy"",""acoustic"",""guitar"",""long"",""party"",""synthesizer"",""relaxing"",""percussion"",""Favourites"",""nostalgia"",""sensual"",""duets"",""One Hit Wonders"",""childhood memories"",""My 80s"",""candlelight"",""Slow dances"",""vh-1"",""Disco"",""seen live"",""indie"",""vocal"",""female"",""chill"",""soul"",""alternative rock"",""ambient"",""sexy"",""repetitive"",""Love"",""easy listening"",""Gothic"",""shoegaze"",""beautiful"",""Awesome"",""bass"",""alto"",""drums"",""car"",""up"",""scotland"",""Mellow"",""Sleep"",""ethereal"",""Electronic Pop"",""emotional"",""keyboard"",""great song"",""vocal trance"",""modern rock"",""love songs"",""guilty pleasure"",""High School"",""rock n roll"",""80"",""Ballad"",""female vocal"",""4"",""Favorite"",""popular"",""chill out"",""female singer"",""female singers"",""hits"",""poppy"",""8 of 10 stars"",""2010"",""dr hook"",""truth"",""looooove"",""Masterpiece"",""fantasy""]","{""danceability"":0.536,""energy"":0.661,""key"":5,""loudness"":-9.174,""mode"":1,""speechiness"":0.0329,""acousticness"":0.383,""instrumentalness"":0.000507,""liveness"":0.0643,""valence"":0.682,""tempo"":90.231,""type"":""audio_features"",""id"":""3e4IdAxjdAWjZFEOMmvDVP"",""uri"":""spotify:track:3e4IdAxjdAWjZFEOMmvDVP"",""track_href"":""https://api.spotify.com/v1/tracks/3e4IdAxjdAWjZFEOMmvDVP"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/3e4IdAxjdAWjZFEOMmvDVP"",""duration_ms"":257133,""time_signature"":4}","T'Pau","Heart and Soul"
"[]","{""danceability"":0.703,""energy"":0.579,""key"":2,""loudness"":-12.786,""mode"":1,""speechiness"":0.0308,""acousticness"":0.37,""instrumentalness"":0.00000707,""liveness"":0.117,""valence"":0.973,""tempo"":111.583,""type"":""audio_features"",""id"":""6ZKlm17z22OxkzgemE4aos"",""uri"":""spotify:track:6ZKlm17z22OxkzgemE4aos"",""track_href"":""https://api.spotify.com/v1/tracks/6ZKlm17z22OxkzgemE4aos"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/6ZKlm17z22OxkzgemE4aos"",""duration_ms"":359816,""time_signature"":4}","Robert Palmer","Addicted To Love"
"[""80s"",""soul"",""pop"",""funk"",""rock"",""dance"",""rhythm and blues"",""RB"",""rnb"",""wishing well"",""singer-songwriter"",""80's"",""terence trent d arby-wishing well"",""sexy"",""funky"",""Love"",""male vocalists"",""1988"",""1980s"",""1987"",""80s soul"",""trance trand darby"",""classic"",""pop rock"",""catchy"",""urban"",""soft rock"",""adult contemporary"",""american"",""party"",""cool"",""great lyrics"",""Pop-Rock"",""4 of 10 stars"",""a subtle use of vocal harmony"",""intricate melodic phrasing"",""major key tonality"",""repetitive melodic phrasing"",""a dynamic male vocalist"",""80s Pop"",""Old School soul"",""All time favourites"",""groove based composition"",""electric guitar riffs"",""70s 80s 90s"",""leapsandloved"",""heavy syncopation"",""demanding instrumental part writing"",""critically acclaimed song"",""acclaimed music top 3000 bubbling under"",""galaxystardust"",""Terence Trent DArby"",""Terence Trent drby -WishingWell"",""Happy retirement mix"",""Disco"",""indie"",""jazz"",""british"",""clean"",""dark"",""cheese"",""romantic"",""beautiful"",""groove"",""night"",""bass"",""90s"",""drums"",""eighties"",""old skool"",""nu soul"",""r&b"",""oldies"",""smooth"",""new"",""r and b"",""beats"",""old school"",""poetic"",""trees"",""great song"",""Uplifting"",""good"",""new romantic"",""dance pop"",""rock n roll"",""alternative pop"",""singer-songwriters"",""Ballad"",""top 40"",""songs i love"",""roadtrip"",""I Like It"",""perfect pop songs"",""sensual"",""kissing"",""kiss"",""Remember"",""single"",""7""]","{""danceability"":0.855,""energy"":0.461,""key"":10,""loudness"":-13.096,""mode"":0,""speechiness"":0.0564,""acousticness"":0.0965,""instrumentalness"":0,""liveness"":0.201,""valence"":0.833,""tempo"":104.96,""type"":""audio_features"",""id"":""2bvzxeD1hPWEYotw40Euq9"",""uri"":""spotify:track:2bvzxeD1hPWEYotw40Euq9"",""track_href"":""https://api.spotify.com/v1/tracks/2bvzxeD1hPWEYotw40Euq9"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/2bvzxeD1hPWEYotw40Euq9"",""duration_ms"":210467,""time_signature"":4}","Terence Trent D'Arby","Wishing Well"
"[]","{""danceability"":0.898,""energy"":0.541,""key"":11,""loudness"":-17.542,""mode"":0,""speechiness"":0.282,""acousticness"":0.0188,""instrumentalness"":0.000151,""liveness"":0.281,""valence"":0.756,""tempo"":103.899,""type"":""audio_features"",""id"":""53eSPiEnq4XkQSxczX7iKA"",""uri"":""spotify:track:53eSPiEnq4XkQSxczX7iKA"",""track_href"":""https://api.spotify.com/v1/tracks/53eSPiEnq4XkQSxczX7iKA"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/53eSPiEnq4XkQSxczX7iKA"",""duration_ms"":288000,""time_signature"":4}","Eric B. & Rakim","I Know You Got Soul"
"[""pop"",""80s"",""dance"",""Madonna"",""female vocalists"",""1986"",""classic"",""american"",""open your heart"",""rock"",""Love"",""female vocalist"",""party"",""queen of pop"",""favorites"",""catchy"",""80s Pop"",""amayzes loved"",""electronic"",""favorite songs"",""new wave"",""upbeat"",""love songs"",""dance pop"",""female"",""USA"",""romantic"",""synthpop"",""Guilty Pleasures"",""davaho53"",""Disco"",""downtempo"",""singer-songwriter"",""pop rock"",""singer"",""oldies"",""gay"",""80's"",""female vocal"",""Favourites"",""nostalgia"",""Favourite Songs"",""best songs of the 80s"",""my favorite"",""love the video"",""music that makes me melt"",""danceable pop"",""us number one"",""immaculate collection"",""True Blue"",""dancing alone at home"",""madonnna"",""legolove"",""Brilliantastic"",""i love madonna""]","{""danceability"":0.656,""energy"":0.899,""key"":5,""loudness"":-5.039,""mode"":1,""speechiness"":0.0565,""acousticness"":0.0261,""instrumentalness"":0,""liveness"":0.0936,""valence"":0.865,""tempo"":113.239,""type"":""audio_features"",""id"":""3kme5Qos8h04yrKxsgur79"",""uri"":""spotify:track:3kme5Qos8h04yrKxsgur79"",""track_href"":""https://api.spotify.com/v1/tracks/3kme5Qos8h04yrKxsgur79"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/3kme5Qos8h04yrKxsgur79"",""duration_ms"":229280,""time_signature"":4}","Madonna","Open Your Heart"
"[""indie"",""rock"",""Grunge"",""alternative"",""alternative rock"",""indie rock""]","{""danceability"":0.53,""energy"":0.861,""key"":7,""loudness"":-4.67,""mode"":1,""speechiness"":0.0372,""acousticness"":0.0175,""instrumentalness"":0.0177,""liveness"":0.0857,""valence"":0.844,""tempo"":130.476,""type"":""audio_features"",""id"":""64D3dzWyj0GpQT1AHx4kbK"",""uri"":""spotify:track:64D3dzWyj0GpQT1AHx4kbK"",""track_href"":""https://api.spotify.com/v1/tracks/64D3dzWyj0GpQT1AHx4kbK"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/64D3dzWyj0GpQT1AHx4kbK"",""duration_ms"":140507,""time_signature"":4}","The Smiths","Panic (2011 Remastered Version)"
"[""pop"",""synthpop""]","{""danceability"":0.636,""energy"":0.953,""key"":0,""loudness"":-8.074,""mode"":1,""speechiness"":0.0544,""acousticness"":0.091,""instrumentalness"":0.0203,""liveness"":0.252,""valence"":0.947,""tempo"":111.019,""type"":""audio_features"",""id"":""6KdhjkEK51ZlYCo6Pen0PM"",""uri"":""spotify:track:6KdhjkEK51ZlYCo6Pen0PM"",""track_href"":""https://api.spotify.com/v1/tracks/6KdhjkEK51ZlYCo6Pen0PM"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/6KdhjkEK51ZlYCo6Pen0PM"",""duration_ms"":183347,""time_signature"":4}","Living In A Box","Living In A Box - 7'' Version"
